population_growth,sigma_xl,investment_share,minimum_wage_change_pct,minimum_wage_growth_pct
0.01,4.0,0.1,-13.780344796060017,-0.5314653166033884
0.01,4.0,0.125,-4.371393408305513,-0.18735638197569515
0.01,4.0,0.15,0.0,0.02818859983921701
0.01,4.0,0.175,0.0,0.05583324231173553
0.01,4.0,0.2,0.0,0.07521498024383594
0.01,4.0,0.225,0.0,0.09110527589747952
0.01,4.0,0.23343234323432344,0.0,0.09592068146405952
0.01,4.0,0.25,0.0,0.10484576078357011
0.01,4.0,0.275,0.0,0.11721320563789772
0.015,4.0,0.1,-17.007177610776804,-0.6899306266717975
0.015,4.0,0.125,-7.852349365244837,-0.3447495396415534
0.015,4.0,0.15,-0.052412645713662,-0.004313533697880567
0.015,4.0,0.175,0.0,0.044469567641708396
0.015,4.0,0.2,0.0,0.06675193827913595
0.015,4.0,0.225,0.0,0.08411975944037087
0.015,4.0,0.23343234323432344,0.0,0.08934362480655933
0.015,4.0,0.25,0.0,0.09894426898655329
0.015,4.0,0.275,0.0,0.11207039505649052
0.02,4.0,0.1,-19.902448794852777,-0.8483708262094269
0.02,4.0,0.125,-11.013280874725284,-0.5021121781002391
0.02,4.0,0.15,-3.188199784700374,-0.1606294767424299
0.02,4.0,0.175,0.0,0.030262506667277922
0.02,4.0,0.2,0.0,0.05703548006792403
0.02,4.0,0.225,0.0,0.07630532852242466
0.02,4.0,0.23343234323432344,0.0,0.08190559058478541
0.02,4.0,0.25,0.0,0.09215237622835493
0.02,4.0,0.275,0.0,0.10606430483790508
0.025,4.0,0.1,-22.516393919273735,-1.0067857707262595
0.025,4.0,0.125,-13.88288266453297,-0.659446346657433
0.025,4.0,0.15,-6.218387476755948,-0.31691178680127996
0.025,4.0,0.175,0.0,0.008232967373399125
0.025,4.0,0.2,0.0,0.045650969764318705
0.025,4.0,0.225,0.0,0.06758689099654602
0.025,4.0,0.23343234323432344,0.0,0.07366531393177
0.025,4.0,0.25,0.0,0.08473374061856442
0.025,4.0,0.275,0.0,0.09960840747679778
0.03,4.0,0.1,-24.888343743720263,-1.1651764527717545
0.03,4.0,0.125,-16.500222121611763,-0.8167508558175884
0.03,4.0,0.15,-9.017080878570605,-0.47316030949355603
0.03,4.0,0.175,-2.3156357914232983,-0.13427121880529858
0.03,4.0,0.2,0.0,0.03207840587149957
0.03,4.0,0.225,0.0,0.05777284330147903
0.03,4.0,0.23343234323432344,0.0,0.0645442138849539
0.03,4.0,0.25,0.0,0.07672517491031927
0.03,4.0,0.275,0.0,0.09236245478591587
0.035,4.0,0.1,-27.059620654622773,-1.32354171157531
0.035,4.0,0.125,-18.896172296521996,-0.9740266047317592
0.035,4.0,0.15,-11.594701761862192,-0.6293759617326117
0.035,4.0,0.175,-4.997013871966383,-0.2894558401593722
0.035,4.0,0.2,0.0,0.013020576254207938
0.035,4.0,0.225,0.0,0.04668604542065746
0.035,4.0,0.23343234323432344,0.0,0.05443711872532009
0.035,4.0,0.25,0.0,0.06784749588609196
0.035,4.0,0.275,0.0,0.0848692167295273
0.038,4.0,0.1,-28.271469754958623,-1.4185488035338394
0.038,4.0,0.125,-20.238016520164848,-1.0683777315573324
0.038,4.0,0.15,-13.045482553507926,-0.7230883339046201
0.038,4.0,0.175,-6.523930046508985,-0.38254819139889595
0.038,4.0,0.2,-0.6684602481844437,-0.04662732568101735
0.038,4.0,0.225,0.0,0.03916126379878149
0.038,4.0,0.23343234323432344,0.0,0.04780137992577704
0.038,4.0,0.25,0.0,0.06216988115523292
0.038,4.0,0.275,0.0,0.08017687707364551
