population_growth,sigma,investment_share,minimum_wage_change_pct,minimum_wage_growth_pct
0.03,3.1,0.15,-9.18326102770327,-0.5118654951212359
0.03,4.0,0.15,-9.01708340207522,-0.47316068849267146
0.03,6.0,0.15,-11.612723358885502,-0.4320978474137288
0.03,8.0,0.15,-15.28738034055065,-0.6651693240139034
0.03,10.0,0.15,-18.158607414796492,-1.0253927619896852
0.03,3.1,0.2,0.0,0.049297317461358126
0.03,4.0,0.2,0.0,0.03207887145293409
0.03,6.0,0.2,0.0,-0.21144997103650365
0.03,8.0,0.2,-4.6588775313186614,-0.7609647106885054
0.03,10.0,0.2,-9.138370934872263,-1.2425718120635532
0.03,3.1,0.23343234323432344,0.0,0.10101207152987124
0.03,4.0,0.23343234323432344,0.0,0.06454394913650296
0.03,6.0,0.23343234323432344,0.0,-0.1988400354451081
0.03,8.0,0.23343234323432344,0.0,-0.8283214112228432
0.03,10.0,0.23343234323432344,-4.2896955822046445,-1.4073817602706207
