object,value,status
D_CD,0.803125,pass
D_AI,0.4375,pass
singular_h,0.057551379917792155,pass
singular_inference_share,0.4488999999999999,pass
singular_investment_share,0.21315325895478565,pass
singular_research_share,0.07828731650029361,pass
singular_consumption_share,0.25965942454492086,pass
wage_sign_threshold_sigma_XL,6.734006734006733,pass
capability_envelope_derivative_error,4.6502940387327385e-11,pass
axm_sigma_xl_1_hm_1:resource,1.0,pass
axm_sigma_xl_1_hm_1:research_compute_foc,1.0,pass
axm_sigma_xl_1_hm_1:research_human_foc,1.0,pass
axm_sigma_xl_1_hm_1:labor_market,1.0,pass
axm_sigma_xl_1_hm_1:dynamic_path,1.0,pass
axm_sigma_xl_1_hm_1:positive_consumption,1.0,pass
axm_sigma_xl_1_hm_1:monopoly_second_order,1.0,pass
axm_sigma_xl_1_hm_1:terminal_capability_growth_target,1.0,pass
axm_sigma_xl_1_hm_1:terminal_output_growth_target,1.0,pass
axm_sigma_xl_1_hm_2:resource,1.0,pass
axm_sigma_xl_1_hm_2:research_compute_foc,1.0,pass
axm_sigma_xl_1_hm_2:research_human_foc,1.0,pass
axm_sigma_xl_1_hm_2:labor_market,1.0,pass
axm_sigma_xl_1_hm_2:dynamic_path,1.0,pass
axm_sigma_xl_1_hm_2:positive_consumption,1.0,pass
axm_sigma_xl_1_hm_2:monopoly_second_order,1.0,pass
axm_sigma_xl_1_hm_2:terminal_capability_growth_target,1.0,pass
axm_sigma_xl_1_hm_2:terminal_output_growth_target,1.0,pass
